date,country,confirmed,deaths,recovered,active,daily_confirmed,daily_deaths,daily_recovered,total_vaccinations,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,vaccines
2021-02-22,Afghanistan,55617.0,2433.0,48895.0,4289.0,13.0,1.0,61.0,0.0,0.0,0.0,,,,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-02-23,Afghanistan,55646.0,2435.0,48967.0,4244.0,29.0,2.0,72.0,,,,,,1367.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-02-24,Afghanistan,55664.0,2436.0,49086.0,4142.0,18.0,1.0,119.0,,,,,,1367.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-02-25,Afghanistan,55680.0,2438.0,49281.0,3961.0,16.0,2.0,195.0,,,,,,1367.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-02-26,Afghanistan,55696.0,2442.0,49285.0,3969.0,16.0,4.0,4.0,,,,,,1367.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-02-27,Afghanistan,55707.0,2443.0,49288.0,3976.0,11.0,1.0,3.0,,,,,,1367.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-02-28,Afghanistan,55714.0,2443.0,49333.0,3938.0,7.0,0.0,45.0,8200.0,8200.0,0.02,,,1367.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-01,Afghanistan,55733.0,2444.0,49344.0,3945.0,19.0,1.0,11.0,,,,,,1580.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-02,Afghanistan,55759.0,2446.0,49347.0,3966.0,26.0,2.0,3.0,,,,,,1794.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-03,Afghanistan,55770.0,2446.0,49359.0,3965.0,11.0,0.0,12.0,,,,,,2008.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-04,Afghanistan,55775.0,2446.0,49362.0,3967.0,5.0,0.0,3.0,,,,,,2221.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-05,Afghanistan,55827.0,2449.0,49362.0,4016.0,52.0,3.0,0.0,,,,,,2435.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-06,Afghanistan,55840.0,2449.0,49369.0,4022.0,13.0,0.0,7.0,,,,,,2649.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-07,Afghanistan,55847.0,2449.0,49378.0,4020.0,7.0,0.0,9.0,,,,,,2862.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-08,Afghanistan,55876.0,2451.0,49402.0,4023.0,29.0,2.0,24.0,,,,,,2862.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-09,Afghanistan,55876.0,2451.0,49409.0,4016.0,0.0,0.0,7.0,,,,,,2862.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2021-03-10,Afghanistan,55894.0,2451.0,49499.0,3944.0,18.0,0.0,90.0,,,,,,2862.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
